laptop_id,brand,model,old_price,current_price,discount_rate_percent,operational_system,graphics_type,integrated_graphics,gpu,cpu_brand,cpu_model,cpu_frequency,ram,memory_type,hdd_capacity,ssd_capacity,display_diagonal,resolution,video_standard,weight,gpu_brand,cpu_gpu_combination
144452,Acer,Nitro 5 AN515-43,,,,Linux,Both,AMD Radeon Vega 8,GeForce GTX 1050 Ti,AMD,Ryzen 5,2.1,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.2,NVIDIA,AMD + NVIDIA
144453,Acer,Nitro 5 AN515-43,,,,Linux,Both,AMD Radeon Vega 8,GeForce GTX 1050 Ti,AMD,Ryzen 5,2.1,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.2,NVIDIA,AMD + NVIDIA
144454,Acer,Nitro 5 AN515-43,,,,Linux,Both,AMD Radeon Vega 8,GeForce GTX 1050 Ti,AMD,Ryzen 5,2.1,16,SHDD,1024.0,512.0,15.6,1920 x 1080,Full HD,2.2,NVIDIA,AMD + NVIDIA
144335,Lenovo,Legion Y740,,,,DOS,Both,Intel UHD Graphics 630,GeForce RTX 2070 Max-Q,Intel,Core i7,2.6,8,SHDD,1024.0,128.0,17.3,1920 x 1080,Full HD,3.0,NVIDIA,Intel + NVIDIA
144333,Lenovo,Ideapad S340,,,,DOS,Integrated,AMD Radeon Vega 3,No,AMD,Ryzen 3,2.6,4,HDD,1024.0,0.0,15.6,1366 x 768,HD,1.9,Intel,AMD + Intel
144332,Lenovo,Ideapad L340,,,,DOS,Both,Intel UHD Graphics 630,GeForce GTX1050,Intel,Core i5,2.4,4,SHDD,1024.0,128.0,15.6,1920 x 1080,Full HD,2.2,NVIDIA,Intel + NVIDIA
144269,ASUS,VivoBook S430FA,,,,Linux,Integrated,Intel UHD Graphics 620,No,Intel,Core i3,2.1,4,SSD,0.0,256.0,14.0,1920 x 1080,Full HD,1.4,Intel,Intel + Intel
144270,ASUS,D509DA,,,,DOS,Integrated,AMD Radeon Vega 8,No,AMD,Ryzen 5,2.1,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.7,Intel,AMD + Intel
144256,Lenovo,Ideapad L340,,,,Windows 10 Home (x64) SL,Both,Intel UHD Graphics 630,GeForce GTX 1650,Intel,Core i5,2.4,8,SHDD,1024.0,128.0,17.3,1600 x 900,HD+,2.6,NVIDIA,Intel + NVIDIA
144263,Lenovo,Ideapad S145,,,,DOS,Integrated,Intel HD Graphics 620,No,Intel,Core i3,2.3,4,HDD,1024.0,0.0,15.6,1366 x 768,HD,1.7,Intel,Intel + Intel
140276,HP,Pavilion Gaming 15-cx0113ur (5GV46EA,,,,DOS,Both,Intel UHD Graphics 630,GeForce GTX 1060,Intel,Core i5,2.3,8,SHDD,1024.0,256.0,15.6,1920 x 1080,Full HD,2.3,NVIDIA,Intel + NVIDIA
