laptop id,title,old price,current price,Операционная система,Процессор,Интегрированная в процессор графика,"Объем оперативной памяти, ГБ",Жесткий диск,Твердотельный накопитель,"Диагональ экрана, дюйм",Разрешение экрана,"Вес, кг",image link,Внимание,Модель процессора,"Частота процессора, ГГц",Конфигурация оперативной памяти,Модель дискретной видеокарты,USB Type-C Power Delivery,Вес
172037,Lenovo Ideapad 3 15ADA6,,,Отсутствует,AMD Athlon Gold,AMD Radeon Graphics,8,HDD нет,256 ГБ SSD,15.6,1920 x 1080 Full HD,1.6,//static.shop.kz/upload/iblock/1c4/vfj8iplyr5ciskl3yictplh5q8fte6ax/1.jpg,Не забудьте купитьоперационную систему,3150U,2.4,4 ГБ + 4 ГБ (распаяно на плате),,Нет,
172033,ASUS ROG Strix G16 G614JV,849 990 ₸,839 900 ₸,Отсутствует,Intel Core i5,Intel UHD Graphics,16,HDD нет,1 ТБ SSD,16,2560 x 1600 WQXGA,2.5,//static.shop.kz/upload/iblock/899/3q40w8ksk3sflkm1vqxfopdnqv20fdw1/172033x1.jpg,Не забудьте купитьоперационную систему,13450HX,2.4,2 х 8 ГБ,GeForce RTX 4060,Да,
172143,ASUS TUF Gaming FX506HF,,,Отсутствует,Intel Core i5,Intel UHD Graphics,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,2.3,//static.shop.kz/upload/iblock/ff2/mmdusgaty8q2ppdk20bi6g8qjwpr05uc/172143x1.jpg,Не забудьте купитьоперационную систему,11400H,2.7,,GeForce RTX 2050,Нет,
172144,ASUS TUF Gaming FX506HC,,,Отсутствует,Intel Core i5,Intel UHD Graphics,16,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,2.3,//static.shop.kz/upload/iblock/f5c/wqptlcxgmw03p7ip7srw23yw18q6c60h/172144x1.jpg,Не забудьте купитьоперационную систему,11400H,2.7,2 х 8 ГБ,GeForce RTX 3050,Нет,
172038,Lenovo IdeaPad 1 15ADA7,,,Windows 11 Home (x64) SL,AMD Ryzen 5,AMD Radeon Vega 8,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.6,//static.shop.kz/upload/iblock/ec5/gvttanjdpuqrlhzxf5ju1gulli017nco/172038x1.jpg,,3500U,2.1,,,Нет,
172268,HP 14-ep0024ci,,,Windows 11 Home (x64),Intel Core i3,Intel UHD Graphics,8,HDD нет,512 ГБ SSD,14,1920 x 1080 Full HD,1.4,//static.shop.kz/upload/iblock/2a5/anb6316y1m6jkktt14y3rz88d95el6vd/172268x1.jpg,,N305,1.8,,,Нет,
172267,HP 14-ep0025i,209 900 ₸,199 900 ₸,Отсутствует,Intel Core i3,Intel UHD Graphics,8,HDD нет,512 ГБ SSD,14,1920 x 1080 Full HD,1.4,//static.shop.kz/upload/iblock/d07/yzq1ytu8h3ajqiqj0cfq4w7ixiuqs07z/172267x1.jpg,Не забудьте купитьоперационную систему,N305,1.8,,,Нет,
172048,ASUS X515EA,,,Отсутствует,Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.66,//static.shop.kz/upload/iblock/d73/r8nqzogwd40x1cp845nf0jw005ws4fks/172048x1.jpg,Не забудьте купитьоперационную систему,1135G7,2.4,8 ГБ (распаяно на плате),,Нет,
172100,HP ProBook 440 G9,,,Windows 11 Pro (x64),Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,14,1920 x 1080 Full HD,1.4,//static.shop.kz/upload/iblock/25a/tq9s285hn85t7fbtug56v0gjq206xpf6/172100x1.jpg,,1235U,1.3,1 х 8 ГБ,,Да,
169728,HP ProBook 440 G9,,,Windows 11 Pro (x64),Intel Core i7,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,14,1920 x 1080 Full HD,1.4,//static.shop.kz/upload/iblock/949/ifaniixhlk52ofwr1kkzj8clx2od4fhb/169728x1.jpg,,1255U,1.7,1 х 8 ГБ,,Да,
169888+5CD20769XS,HP Victus 16-e0044ur (497L8EA),,,Windows 11 Home (x64) SL,AMD Ryzen 5,AMD Radeon Graphics,16,HDD нет,512 ГБ SSD,16.1,1920 x 1080 Full HD,2.4,//static.shop.kz/upload/iblock/980/vhgxgj7krknjn5ite82f5qacqbd38cab/169888_01dd.jpg,,5600H,3.3,2 х 8 ГБ,GeForce RTX 3060,Нет,
172158,ASUS X515EA,,,Отсутствует,Intel Pentium Gold,Intel UHD Graphics,8,HDD нет,256 ГБ SSD,15.6,1920 x 1080 Full HD,1.66,//static.shop.kz/upload/iblock/c8c/v6myhyzbjx5m38bmf5cyl5bkrt7j0mrp/172158x1.jpg,Не забудьте купитьоперационную систему,7505,2.0,8 ГБ (распаяно на плате),,Нет,
172103,HP ProBook 450 G9,,,Windows 11 Pro (x64),Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.7,//static.shop.kz/upload/iblock/ff7/h0w1ehs7pelx65u3va3ufoslqo32jynz/172103x1.jpg,,1235U,1.3,1 х 8 ГБ,,Да,
172106,HP ProBook 450 G9,379 990 ₸,355 990 ₸,Отсутствует,Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,256 ГБ SSD,15.6,1920 x 1080 Full HD,1.7,//static.shop.kz/upload/iblock/0b1/mdpr8mtrz6ngxnradme0976lxpbpmrfd/172106x1.jpg,Не забудьте купитьоперационную систему,1235U,1.3,1 х 8 ГБ,,Да,
172114,HP ProBook 450 G9,,,Windows 11 Pro (x64),Intel Core i7,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.7,//static.shop.kz/upload/iblock/8ab/8ff9c9m1l91kd5kyobik76yulzg727zs/172114x1.jpg,,1255U,1.7,1 х 8 ГБ,,Да,
172102,HP ProBook 450 G9,,,Отсутствует,Intel Core i7,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.7,//static.shop.kz/upload/iblock/500/znr2ce223erbxdkxrey3dvuijjlnssc3/172102x1.jpg,Не забудьте купитьоперационную систему,1255U,1.7,1 х 8 ГБ,,Да,
172047,Lenovo Legion Pro 7 16IRX8H,,,Отсутствует,Intel Core i9,Intel UHD Graphics,32,HDD нет,1 ТБ SSD,16,2560 x 1600 WQXGA,2.8,//static.shop.kz/upload/iblock/b9f/g2p6eeu8r0jh1l5yylgua5zct0nzezfn/172047x1.jpg,Не забудьте купитьоперационную систему,13900HX,2.2,2 х 16 ГБ,GeForce RTX 4090,Да,
172042,Lenovo Yoga Pro 7 14IRH8,,,Отсутствует,Intel Core i5,Intel Iris Xe Graphics,16,HDD нет,512 ГБ SSD,14.5,3072 x 1920,1.5,//static.shop.kz/upload/iblock/f8f/iegfwb42oiahe11jaudwf13co26ctj96/172042x1.jpg,Не забудьте купитьоперационную систему,13500H,2.6,16 ГБ (распаяно на плате),GeForce RTX 3050,Да,
172044,Lenovo Yoga Pro 7 14IRH8,,,Отсутствует,Intel Core i7,Intel Iris Xe Graphics,16,HDD нет,512 ГБ SSD,14.5,3072 x 1920,1.5,//static.shop.kz/upload/iblock/8de/u39hdp42bw6r618mqgpv70bt50u8otns/172044x1.jpg,Не забудьте купитьоперационную систему,13700H,2.4,16 ГБ (распаяно на плате),GeForce RTX 4050,Да,
172112,ASUS ExpertBook B9 B9400CBA,,,Windows 11 Pro (x64),Intel Core i7,Intel Iris Xe Graphics,16,HDD нет,1 ТБ SSD,14,1920 x 1080 Full HD,1,//static.shop.kz/upload/iblock/239/hbkympkjyag1i2xun86usmionfjj1rdg/172112x1.jpg,,1255U,1.7,16 ГБ (распаяно на плате),,Да,
172095,ASUS ExpertBook B9 B9400CBA,689 990 ₸,659 990 ₸,Windows 11 Pro (x64),Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,14,1920 x 1080 Full HD,1,//static.shop.kz/upload/iblock/73f/5f24x7j3cxq4wvp3plaaz2q3mgd2zgm7/172095x1.JPG,,1235U,1.3,8 ГБ (распаяно на плате),,Да,
172099,ASUS ExpertBook B5 B5402CBA,719 990 ₸,689 990 ₸,Windows 11 Pro (x64),Intel Core i7,Intel Iris Xe Graphics,16,HDD нет,1 ТБ SSD,14,1920 x 1080 Full HD,1.2,//static.shop.kz/upload/iblock/34e/hdmcdpc5avmh7v7neg9m0yd9qy83m1kl/172099x1.jpg,,1260P,2.1,8 ГБ + 8 ГБ (распаяно на плате),,Да,
172148,ASUS ExpertBook B1 B1500CEAE,,,Windows 10 Home (x64),Intel Pentium Gold,Intel UHD Graphics,8,HDD нет,256 ГБ SSD,15.6,1920 x 1080 Full HD,1.7,//static.shop.kz/upload/iblock/32e/dqqgdrexy6f11o63bmhy8s3pv2t33o93/172148x1.jpg,,7505,2.0,4 ГБ + 4 ГБ (распаяно на плате),,Да,
172101,ASUS ExpertBook B5 Flip B5302FBA,,,Windows 11 Pro (x64),Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,13.3,1920 x 1080 Full HD,1.3,//static.shop.kz/upload/iblock/0e2/chi6bh565f0l9ejczv2izcfhs0lhf215/172101x1.JPG,,1235U,1.3,8 ГБ (распаяно на плате),,Да,
172104,ASUS ExpertBook B5 Flip B5302FBA,,,Windows 11 Pro (x64),Intel Core i7,Intel Iris Xe Graphics,16,HDD нет,1 ТБ SSD,13.3,1920 x 1080 Full HD,1.3,//static.shop.kz/upload/iblock/b91/pvx6mgkfef1p9q0b63z6eosql2j33q2r/172104x1.JPG,,1255U,1.7,8 ГБ + 8 ГБ (распаяно на плате),,Да,
172109,ASUS ExpertBook B1 B1402CBA,,,Windows 11 Pro (x64),Intel Core i7,Intel Iris Xe Graphics,16,HDD нет,512 ГБ SSD,14,1920 x 1080 Full HD,1.5,//static.shop.kz/upload/iblock/41c/by2hqwmbekk9a71reowg50elqw84fdq4/172109x1.jpg,,1255U,1.7,16 ГБ (распаяно на плате),,Да,
172111,ASUS ExpertBook B1 B1402CBA,299 990 ₸,279 990 ₸,Отсутствует,Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,14,1920 x 1080 Full HD,1.5,//static.shop.kz/upload/iblock/d4f/1q9xlr1ppt39smmeufg0ijq72gg8uj6u/172111x1.jpg,Не забудьте купитьоперационную систему,1235U,1.3,8 ГБ (распаяно на плате),,Да,
172108,ASUS ExpertBook B1 B1402CBA,319 990 ₸,309 990 ₸,Windows 11 Pro (x64),Intel Core i3,Intel UHD Graphics,8,HDD нет,256 ГБ SSD,14,1920 x 1080 Full HD,1.5,//static.shop.kz/upload/iblock/78f/5wduz43t1nthu61n4ioqio2he85r7cur/172108x1.jpg,,1215U,1.2,8 ГБ (распаяно на плате),,Да,
172113,ASUS ExpertBook B1 B1402CBA,229 990 ₸,219 990 ₸,Отсутствует,Intel Core i3,Intel UHD Graphics,8,HDD нет,256 ГБ SSD,14,1920 x 1080 Full HD,1.5,//static.shop.kz/upload/iblock/e1c/m1ojpn71ll3dig90uqkprk63s1b5ycnz/172113x1.jpg,Не забудьте купитьоперационную систему,1215U,1.2,8 ГБ (распаяно на плате),,Да,
172096,ASUS ExpertBook B1 B1400CBA,,,Отсутствует,Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,14,1920 x 1080 Full HD,1.4,//static.shop.kz/upload/iblock/060/bl2p8lhdabnabh5jjyngqsu5vs9a22pg/172096x1.jpg,Не забудьте купитьоперационную систему,1235U,1.3,8 ГБ (распаяно на плате),,Да,
172107,ASUS ExpertBook B1 B1400CBA,,,Отсутствует,Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,14,1920 x 1080 Full HD,1.4,//static.shop.kz/upload/iblock/2da/ijl5nmxzcct5eyullwvmif4flqwc2f3o/172107x1.jpg,Не забудьте купитьоперационную систему,1235U,1.3,8 ГБ (распаяно на плате),,Да,
172098,ASUS ExpertBook B1 B1400CBA,,,Windows 11 Pro (x64),Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,512 ГБ SSD,14,1920 x 1080 Full HD,1.4,//static.shop.kz/upload/iblock/5ef/2fislb8zrmz2apf59clexbftw83imz0w/172098x1.jpg,,1235U,1.3,8 ГБ (распаяно на плате),,Да,
