laptop_id,brand,model,old_price,current_price,discount_rate_percent,operational_system,graphics_type,integrated_graphics,gpu,cpu_brand,cpu_model,cpu_frequency,ram,memory_type,hdd_capacity,ssd_capacity,display_diagonal,resolution,video_standard,weight
169747,Lenovo,Legion 5 15ACH6,,,,Windows 11 Home (x64) SL,Both,AMD Radeon Graphics,GeForce RTX 3050,AMD,Ryzen 5,3.3,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.4
169744,Lenovo,IdeaPad L3 15ITL6,,,,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i3,3.0,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.8
169746,Lenovo,IdeaPad 3 15ALC6,259990.0,249990.0,3.85,Windows 11 Home (x64) SL,Integrated,AMD Radeon Graphics,No,AMD,Ryzen 5,2.1,8,HDD,1024.0,0.0,15.6,1920 x 1080,Full HD,1.6
169745,Lenovo,IdeaPad 3 15ABA7,,,,Windows 11 Home (x64) SL,Integrated,AMD Radeon Graphics,No,AMD,Ryzen 3,2.7,4,SSD,0.0,128.0,15.6,1920 x 1080,Full HD,1.6
169663,ASUS,ROG Strix G713PI,,,,Windows 11 Home (x64),Both,AMD Radeon 610M,GeForce RTX 4070,AMD,Ryzen 9,2.5,32,SSD,0.0,1024.0,17.3,2560 x 1440,QHD,2.7
169665,ASUS,ROG Strix SCAR 17 G733PZ,,,,Windows 11 Pro (x64),Both,AMD Radeon 610M,GeForce RTX 4080,AMD,Ryzen 9,2.5,32,SSD,0.0,1024.0,17.3,2560 x 1440,QHD,3.0
169661,ASUS,"Vivobook S 15 K5504VA, OLED",599990.0,589990.0,1.67,Windows 11 Home (x64),Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,2.4,16,SSD,0.0,1024.0,15.6,2880 x 1620,Other,1.7
169668,ASUS,ROG Zephyrus G16 GU603ZI,,,,Windows 11 Home (x64),Both,Intel Iris Xe Graphics,GeForce RTX 4070,Intel,Core i7,2.3,16,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.0
169579,ASUS,ExpertBook B1 B1500CBA,,,,Windows 11 Pro (x64),Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,1.7,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.6
169476,ASUS,Vivobook Pro 16 K6602VU,,,,DOS,Both,Intel Iris Xe Graphics,GeForce RTX 3050,Intel,Core i5,2.5,16,SSD,0.0,512.0,16.0,1920 x 1200,WUXGA,1.9
169465,ASUS,Vivobook 17 X1702ZA,,,,Windows 11 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i3,1.5,8,SSD,0.0,512.0,17.3,1920 x 1080,Full HD,2.1
169468,ASUS,Vivobook S 14 Flip TN3402QA,,,,Windows 11 Home (x64),Integrated,AMD Radeon Graphics,No,AMD,Ryzen 5,3.3,8,SSD,0.0,512.0,14.0,1920 x 1200,WUXGA,1.6
169524,DELL,Vostro 3520,,,,Windows 11 Pro (x64),Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,1.3,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.6
169474,ASUS,"Vivobook Pro 15 K6502ZC, OLED",559990.0,529990.0,5.36,DOS,Both,Intel Iris Xe Graphics,GeForce RTX 3050,Intel,Core i5,2.5,16,SSD,0.0,512.0,15.6,2880 x 1620,Other,1.8
169478,ASUS,"Vivobook S 15 M3502QA, OLED",,,,Windows 11 Home (x64),Integrated,AMD Radeon Graphics,No,AMD,Ryzen 7,2.8,16,SSD,0.0,1024.0,15.6,2880 x 1620,Other,1.8
169475,ASUS,"Vivobook Pro 15 K6502ZC, OLED",559990.0,529990.0,5.36,DOS,Both,Intel Iris Xe Graphics,GeForce RTX 3050,Intel,Core i5,2.5,16,SSD,0.0,512.0,15.6,2880 x 1620,Other,1.8
169471,ASUS,Vivobook S 16X M5602QA,,,,Windows 11 Home (x64),Integrated,AMD Radeon Graphics,No,AMD,Ryzen 7,3.2,16,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,1.8
162293+N7NRCX06Z643293,ASUS,TUF Gaming F17 FX706HE (90NR0713-M00990),,,,DOS,Both,Intel UHD Graphics,GeForce RTX 3050 Ti,Intel,Core i5,2.7,16,SSD,0.0,512.0,17.3,1920 x 1080,Full HD,2.5
169418,ASUS,"Vivobook Pro 15 M6500QC, OLED",,,,Windows 11 Home (x64),Both,AMD Radeon Graphics,GeForce RTX 3050,AMD,Ryzen 7,3.2,16,SSD,0.0,1024.0,15.6,2880 x 1620,Other,1.7
169419,ASUS,"Vivobook Pro 15 M6500QC, OLED",,,,DOS,Both,AMD Radeon Graphics,GeForce RTX 3050,AMD,Ryzen 7,3.2,16,SSD,0.0,1024.0,15.6,2880 x 1620,Other,1.7
169420,ASUS,Vivobook 17X K1703ZA,,,,Windows 11 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i3,1.1,8,SSD,0.0,512.0,17.3,1920 x 1080,Full HD,2.1
